stock,稅後純益,102年1-9月,增減(%),期末股本,稅後純益,102年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,102年1-9月,增減(%),公司,,營業收入,102年1-9月,增減(%),營業利益,102年1-9月,營業外,102年1-9月
1515,63637,135993,-53.21,1814735,0.35,0.75,12.14,41.0714505411666,1.08186264915868,0.800319519962686,88390,139976,-36.85,1515,力山,2562524,2374984,7.9,63408,42469,24982,97507
1517,168580,221954,-24.05,2278250,0.74,0.97,15.15,61.4590717918867,4.15509946335335,3.34187736116826,287801,325803,-11.66,1517,利奇,2827494,2876712,-1.71,204632,232018,83169,93785
1519,116619,85869,35.81,2610585,0.45,0.33,11.49,50.8633911865402,1.71286661316246,0.905831599467253,147338,109965,33.99,1519,華城,3244701,3179371,2.05,168621,97291,-21283,12674
1521,286215,190548,50.21,762300,3.75,2.5,21.05,50.1088225768824,1.37834154382153,0.805166800906588,347494,227457,52.77,1521,大億,3648932,2916414,25.12,304307,160179,43187,67278
1522,323604,161492,100.38,3128979,1.04,0.52,16.93,24.7277399905441,1.06149803544821,0.499950640410575,702670,288628,143.45,1522,堤維西,13770024,12012651,14.63,540998,266257,161672,22371
1524,1544,-3813,,1796852,0.01,-0.02,11.46,42.6061012144098,1.04578112486221,0.55707422195609,2558,-4918,,1524,耿鼎,1792825,1785505,0.41,19986,2689,-17428,-7607
1525,233023,212025,9.9,692454,3.37,3.06,42.31,79.7619024929611,1.70971732000625,0.940731948565776,260552,244168,6.71,1525,江申,839574,861381,-2.53,7549,18925,253003,225243
1526,38262,25492,50.09,500000,0.76,0.51,10.42,52.1874073599282,2.28970677818206,1.01447175620277,42676,28081,51.97,1526,日馳,551953,510332,8.16,45092,28284,-2416,-203
1527,560313,376725,48.73,1532896,3.66,2.46,17.48,21.1717950380853,1.16857313677813,0.351041619342021,680422,453886,49.91,1527,鑽全,2403179,2045216,17.5,466016,304723,214406,149163
1528,3888,81430,-95.23,1470000,0.03,0.55,13.63,41.0961171009229,1.69934942555044,1.02867346648066,14703,101550,-85.52,1528,恩德,2496362,2494953,0.06,14703,72558,0,28992
1529,-42304,-68824,,2997089,-0.17,-0.28,1.75,79.0750511500089,1.88206264149714,1.65084613254719,-32017,-68685,,1529,樂士,85016,90634,-6.2,-47002,-72106,14985,3421
1530,177475,155481,14.15,919945,1.93,1.69,26.27,39.73947441108,1.34050861256465,0.690906050584249,230425,201463,14.38,1530,亞崴,2814004,2173598,29.46,230337,155958,88,45505
1531,143609,236512,-39.28,1931511,0.74,1.22,21.87,76.848800317524,4.02463969220791,3.09762118541429,146287,367366,-60.18,1531,高林股,2133691,2414896,-11.64,94546,270252,51741,97114
1533,169446,141195,20.01,964152,1.79,1.49,22,49.8276989862214,1.95620254744389,1.19017701753534,228970,203300,12.63,1533,車王電,2004896,1698587,18.03,239895,148878,-10925,54422
1535,464123,462899,0.26,1237426,3.75,3.87,27.06,45.3716084889919,1.6245060635707,1.06707255889336,580374,564991,2.72,1535,中宇,7300968,7745668,-5.74,350367,395685,230007,169306
1536,488901,295503,65.45,2322403,2.11,1.75,13.05,41.8514409737495,1.41652794622683,0.821398198493301,600226,347573,72.69,1536,和大,3099246,2691618,15.14,546047,313627,54179,33946
1537,469311,440130,6.63,815854,5.75,5.39,33.94,67.605324306646,2.94964224927692,1.26871947317607,652134,573538,13.7,1537,廣隆,4996926,4201261,18.94,621957,537462,30177,36076
1538,-14452,-185691,,831358,-0.17,-2.23,10,39.5304352457972,1.36797832816172,0.393987796416217,-14452,-189298,,1538,正峰新,661699,595360,11.14,-65202,-165462,50750,-23836
1539,101492,79314,27.96,653700,1.55,1.21,12.21,40.5263823260475,1.39135395100565,0.710732939178709,132098,97644,35.29,1539,巨庭,1963263,1446778,35.7,122127,83024,9971,14620
1540,115490,77049,49.89,854736,1.46,0.97,16.86,78.2849786933895,3.73977195735637,2.34421525650454,134018,89144,50.34,1540,喬福,792251,666398,18.89,110653,70085,23365,19059
1541,97479,47,207302.13,788000,1.25,<<<<<,12.37,46.791753777246,1.27496191477244,0.865242657307039,116092,1808,6321.02,1541,錩泰,2035651,1390015,46.45,100571,162,15521,1646
1560,494758,386385,28.05,1410000,3.51,2.74,26.15,69.3975558939168,1.7524467578168,0.970485112269568,621817,470415,32.18,1560,中砂,3308839,3055979,8.27,654355,544780,-32538,-74365
1568,78855,48484,62.64,1030865,0.81,0.53,13.33,49.337517421237,1.57332033802622,0.808058572764455,101079,68668,47.2,1568,倉佑,1624424,1324072,22.68,103752,65867,-2673,2801
1583,399999,268563,48.94,996453,4.01,2.7,31.13,27.2411666004785,1.29225453098755,0.645894771469652,651389,476195,36.79,1583,程泰,5541475,4278374,29.52,620483,406672,30906,69523
1589,734497,395448,85.74,1048890,7.22,3.92,69.68,66.2109442418008,2.91133694794101,2.11727526295272,961819,523905,83.59,1589,F-永冠,5373347,4215058,27.48,1011489,561705,-49670,-37800
1590,1374515,1292956,6.31,1705000,8.07,8.06,54.22,51.4998045994205,1.095754038358,0.788432373713366,1862962,1772516,5.1,1590,F-亞德,6334981,5515811,14.85,1861498,1651003,1464,121513
1592,120985,105345,14.85,892333,1.36,1.29,27.32,43.9645236510195,1.2444290597551,0.438966924917568,183691,142615,28.8,1592,F-英瑞,3704562,3244334,14.19,237923,223232,-54232,-80617
